Method:,double_shade_pso,Function:,Rotated_Hyper_Ellipsoid,NFE:,100000.0,Seed:,397285674
score on contour,0.4368794223879157
min,0.0005107217249551
pop,100
contour %,0.36354961832061067
below threshold %,0.5576792166308844
"
"
Method:,double_shade_bat,Function:,Levy,NFE:,200000.0,Seed:,397285674
score within threshold,0.2285126496419527
score on contour,0.3877103485712149
min,0.000195778839536
pop,100
contour %,0.5885019083969466
below threshold %,0.8173273288998272
"
"
Method:,double_shade_bat,Function:,Levy,NFE:,500000.0,Seed:,397285674
score within threshold,0.17966862609494755
score on contour,0.3299158853858444
min,0.0005084757079758
pop,100
contour %,0.7590648854961832
below threshold %,0.9323192124417448
"
"
Method:,jde,Function:,Rotated_Hyper_Ellipsoid,NFE:,100000.0,Seed:,397285674
score within threshold,0.09005453429892242
score on contour,0.11382444387259474
min,0.0013385741156448
pop,2000
contour %,1.0
below threshold %,1.0
"
"
Method:,jde,Function:,Rotated_Hyper_Ellipsoid,NFE:,200000.0,Seed:,397285674
score within threshold,0.07483221983513044
score on contour,0.09802023432402981
min,0.000900671894012
pop,4000
contour %,1.0
below threshold %,1.0
"
"
Method:,jde,Function:,Rotated_Hyper_Ellipsoid,NFE:,500000.0,Seed:,397285674
score within threshold,0.05774456393113759
score on contour,0.0765747765746959
min,0.0002114404859791
pop,10000
contour %,1.0
below threshold %,1.0
"
"
Method:,jde,Function:,Ackley,NFE:,100000.0,Seed:,397285674
score within threshold,0.0834543363361163
score on contour,0.06789481964406505
min,0.0742507029551055
pop,2000
contour %,0.011238293178638179
below threshold %,0.031807
"
"
Method:,jde,Function:,Ackley,NFE:,200000.0,Seed:,397285674
score within threshold,0.07906865828126482
score on contour,0.06808537937745823
min,0.0836319466694482
pop,4000
contour %,0.0209905732640201
below threshold %,0.052375
"
"
Method:,jde,Function:,Ackley,NFE:,500000.0,Seed:,397285674
score within threshold,0.07389499864548615
score on contour,0.06787604308070785
min,0.027074771553096
pop,10000
contour %,0.05216620877717974
below threshold %,0.104949
"
"
Method:,jde,Function:,Himmelblau,NFE:,100000.0,Seed:,397285674
score within threshold,0.136967938606999
score on contour,0.14413956671091752
min,0.0003293302597746
pop,2000
contour %,0.3542910447761194
below threshold %,0.5626726292253058
"
"
Method:,jde,Function:,Himmelblau,NFE:,200000.0,Seed:,397285674
score within threshold,0.12543598957364008
score on contour,0.13823174247928632
min,0.0001007770053467
pop,4000
contour %,0.5552238805970149
below threshold %,0.7276075233460476
"
"
Method:,jde,Function:,Himmelblau,NFE:,500000.0,Seed:,397285674
score within threshold,0.10770688500314099
score on contour,0.11850075423346133
min,0.0003431878598522
pop,10000
contour %,0.7600746268656716
below threshold %,0.8741286334341707
"
"
Method:,jde,Function:,Rosenbrock,NFE:,100000.0,Seed:,397285674
score within threshold,1.520479737291793
score on contour,1.4386207929513577
min,0.0012547612261727
pop,2000
contour %,0.9459459459459459
below threshold %,0.8871681415929203
"
"
Method:,jde,Function:,Rosenbrock,NFE:,200000.0,Seed:,397285674
score within threshold,1.2261696067354397
score on contour,1.4394895908028476
min,0.0022702170197887
pop,4000
contour %,1.0
below threshold %,0.9557522123893806
"
"
Method:,jde,Function:,Rosenbrock,NFE:,500000.0,Seed:,397285674
score within threshold,0.8211233252392839
score on contour,0.7314245494072958
min,0.0007038870097787
pop,10000
contour %,1.0
below threshold %,0.995575221238938
"
"
Method:,jde,Function:,Hartman_3D,NFE:,100000.0,Seed:,397285674
score within threshold,0.056743227206014824
score on contour,0.0455338503519595
min,-1.824709780162692e-06
pop,2000
contour %,0.009406860059594596
below threshold %,0.052687112102172945
"
"
Method:,jde,Function:,Hartman_3D,NFE:,200000.0,Seed:,397285674
score within threshold,0.05974238376396019
score on contour,0.046031937988667636
min,-2.00167302555343e-06
pop,4000
contour %,0.01988268148959767
below threshold %,0.09089669296915001
"
"
Method:,jde,Function:,Hartman_3D,NFE:,500000.0,Seed:,397285674
score within threshold,0.06446853858002329
score on contour,0.04418008599961216
min,-1.685829223774249e-06
pop,10000
contour %,0.04804981359986103
below threshold %,0.16982567626412223
"
"
Method:,jde,Function:,Rastrigin,NFE:,100000.0,Seed:,397285674
score within threshold,1.8681352165331344
score on contour,2.5807899294975467
min,0.2513150705525575
pop,2000
contour %,0.8035714285714286
below threshold %,0.9
"
"
Method:,jde,Function:,Rastrigin,NFE:,200000.0,Seed:,397285674
score within threshold,1.366523941091094
score on contour,2.515223886187822
min,0.1092048730568731
pop,4000
contour %,0.9642857142857143
below threshold %,0.9833333333333333
"
"
Method:,jde,Function:,Rastrigin,NFE:,500000.0,Seed:,397285674
score within threshold,0.7605809775823086
score on contour,1.2516614205186718
min,0.0049067459572249
pop,10000
contour %,1.0
below threshold %,1.0
"
"
Method:,jde,Function:,Levy,NFE:,100000.0,Seed:,397285674
score within threshold,0.2138369226260521
score on contour,0.44269755686740475
min,1.0792411423149644e-05
pop,2000
contour %,0.11665076335877862
below threshold %,0.32829763837251924
"
"
Method:,jde,Function:,Levy,NFE:,200000.0,Seed:,397285674
score within threshold,0.22272949304674583
score on contour,0.43547850913952046
min,8.514702368410445e-06
pop,4000
contour %,0.21588740458015268
below threshold %,0.48714457768235847
"
"
Method:,jde,Function:,Levy,NFE:,500000.0,Seed:,397285674
score within threshold,0.22162716123120602
score on contour,0.4153614029519838
min,5.050782264277712e-06
pop,10000
contour %,0.4279580152671756
below threshold %,0.7027019950777609
"
"
Method:,shade,Function:,Rotated_Hyper_Ellipsoid,NFE:,100000.0,Seed:,397285674
score within threshold,0.15000854405694566
score on contour,0.15776021451410563
min,0.0017268076082899
pop,2000
contour %,1.0
below threshold %,1.0
"
"
Method:,shade,Function:,Rotated_Hyper_Ellipsoid,NFE:,200000.0,Seed:,397285674
score within threshold,0.1140649358483978
score on contour,0.12285359506759833
min,0.0021573795103666
pop,4000
contour %,1.0
below threshold %,1.0
"
"
